,Datum,Standort,Hr,RainDur,StrGlo,T,WD,WVs,WVv,p,Standortname,WGS84_lat,WGS84_lng
0,2023-01-01 00:00:00,Zch_Rosengartenstrasse,77.98,0.0,,10.55,78.9,0.33,0.1,971.64,Zürich Rosengartenstrasse,47.3952,8.5261
1,2023-01-01 00:00:00,Zch_Schimmelstrasse,66.64,0.0,,13.53,152.6,1.37,0.83,974.07,Zürich Schimmelstrasse,47.371,8.5235
2,2023-01-01 00:00:00,Zch_Stampfenbachstrasse,72.29,0.0,0.01,11.57,169.49,1.95,1.69,971.62,Zürich Stampfenbachstrasse,47.3868,8.5398
3,2023-01-01 01:00:00,Zch_Rosengartenstrasse,67.03,0.0,,13.1,205.41,0.69,0.4,971.87,Zürich Rosengartenstrasse,47.3952,8.5261
4,2023-01-01 01:00:00,Zch_Schimmelstrasse,60.27,0.0,,15.14,151.6,1.52,1.3,974.3,Zürich Schimmelstrasse,47.371,8.5235
5,2023-01-01 01:00:00,Zch_Stampfenbachstrasse,63.66,0.0,0.02,13.47,205.89,3.4,2.77,971.86,Zürich Stampfenbachstrasse,47.3868,8.5398
6,2023-01-01 02:00:00,Zch_Rosengartenstrasse,69.75,0.0,,12.39,325.74,0.37,0.04,971.88,Zürich Rosengartenstrasse,47.3952,8.5261
7,2023-01-01 02:00:00,Zch_Schimmelstrasse,70.59,0.0,,12.06,154.9,1.26,0.25,974.22,Zürich Schimmelstrasse,47.371,8.5235
8,2023-01-01 02:00:00,Zch_Stampfenbachstrasse,68.85,0.0,0.02,12.39,149.11,1.98,1.49,971.76,Zürich Stampfenbachstrasse,47.3868,8.5398
9,2023-01-01 03:00:00,Zch_Rosengartenstrasse,76.0,0.0,,10.84,294.63,0.34,0.08,972.16,Zürich Rosengartenstrasse,47.3952,8.5261
10,2023-01-01 03:00:00,Zch_Schimmelstrasse,77.79,0.0,,10.26,162.4,0.75,0.47,974.56,Zürich Schimmelstrasse,47.371,8.5235
11,2023-01-01 03:00:00,Zch_Stampfenbachstrasse,70.72,0.0,0.02,11.69,157.08,1.79,1.46,972.01,Zürich Stampfenbachstrasse,47.3868,8.5398
12,2023-01-01 04:00:00,Zch_Rosengartenstrasse,71.31,0.0,,11.48,227.29,0.57,0.25,972.17,Zürich Rosengartenstrasse,47.3952,8.5261
13,2023-01-01 04:00:00,Zch_Schimmelstrasse,65.47,0.0,,13.75,152.46,1.68,1.27,974.6,Zürich Schimmelstrasse,47.371,8.5235
14,2023-01-01 04:00:00,Zch_Stampfenbachstrasse,70.45,0.0,0.02,11.55,178.54,2.98,2.74,972.1,Zürich Stampfenbachstrasse,47.3868,8.5398
15,2023-01-01 05:00:00,Zch_Rosengartenstrasse,60.88,0.0,,14.38,217.12,0.98,0.64,972.22,Zürich Rosengartenstrasse,47.3952,8.5261
